SETOR,LOCALIZAÇÃO,CODIGO,DESCRIÇÃO,QTD,ALMOXARIFADO
Cilindro 2,ESTEIRA,034755,FECHAMENTO [CAMISA DO CILINDRO - CBHM6000 CA],0,Almox Mont Carretas
Cilindro 2,ESTEIRA,468897,FECHAM CILINDRO           CBHM,0,Almox Mont Carretas
Cilindro 2,ESTEIRA,496935,ORELHA DO CILINDRO [CAMISA DO CILINDRO - CBH/CBHM],0,Almox Mont Carretas
Cilindro 2,ESTEIRA,034946,BUCHA DO PISTÃO [PISTÃO DO CILINDRO - CBH/CBHM],0,Almox Mont Carretas
Cilindro 2,ESTEIRA,496923,TUBO DA CAMISA DO CILINDRO [CILINDRO HIDRAULICO - CBH/CBHM],0,Almox Mont Carretas
Cilindro 2,ESTEIRA,034945,TUBO DA CONEXÃO MENOR [CAMISA DO CILINDRO - CBH/CBHM],0,Almox Mont Carretas
Cilindro 2,CAIXA 1,034545,TUBO [CAMISA DO CILINDRO - CBH5/CBHM5000],0,Almox Mont Carretas
Cilindro 2,CAIXA 2,034754,TUBO [CAMISA DO CILINDRO - CBHM6000 CA],0,Almox Mont Carretas
Cilindro 2,CAIXA 3,034879,EIXO PISTÃO [CBHM5000/6000],0,Almox Mont Carretas
Cilindro 2,CAIXA 4,034756,EIXO [PISTÃO - CBHM6000 CA],0,Almox Mont Carretas
Cilindro 2,MESA MONTAGEM,034790,"TERMINAL MACHO JIC 3/4"" [TUBOS HIDRÁULICOS - CBH/CBHM]",0,Almox Mont Carretas
Cilindro 2,MESA MONTAGEM,034945,TUBO DA CONEXÃO MENOR [CAMISA DO CILINDRO - CBH/CBHM],0,Almox Mont Carretas
Fueiro,A,031210,CORPO FUEIRO TRAS 90cm - CBHM 4500/5000,0,Almox Mont Carretas
Fueiro,A,469026,CHAPEAMENTO FUEIRO CENTRAL (10.000) CBHM (Un),0,Almox Mont Carretas
Fueiro,A,014424,CHAPEAM FUEIRO TRAS  M09 (10.000) CBHM (Un),0,Almox Mont Carretas
Fueiro,A,031216,CORPO FUEIRO CENTRAL - CBHM 10000,0,Almox Mont Carretas
Fueiro,A,031212,CORPO FUEIRO DIANTEIRO - CBHM 10000/8000,0,Almox Mont Carretas
Fueiro,A,031214,CORP FUEIRO TRAS - CBHM 8000/10000,0,Almox Mont Carretas
Fueiro,A,031211,CORPO FUEIRO TRAS 60cm - CBHM 3500,0,Almox Mont Carretas
Fueiro,A,031209,CORPO FUEIRO DIANTEIRO 60cm - CBHM 3500,0,Almox Mont Carretas
Fueiro,B,031287,CORPO FUEIRO TRAS. (ABERT. LATERAL) - CBH M18,0,Almox Mont Carretas
Fueiro,B,031215,"CORPO FUEIRO TRAS 1,10 - CBHM 5000",0,Almox Mont Carretas
Fueiro,B,031213,CORPO FUEIRO DIANT 90cm - CBHM 4500/5000,0,Almox Mont Carretas
Fueiro,B,031221,CORPO FUEIRO CENTRAL - CBHM 6000,0,Almox Mont Carretas
Fueiro,C GABARITOS,494604,BUCHA ESPAÇ  FUEIRO  CBHM (Un),0,Almox Mont Carretas
Fueiro,C GABARITOS,494665,PINO FUEIRO       CBHM,0,Almox Mont Carretas
Fueiro,C GABARITOS,031233,BUCHA ESPAÇ  FUEIRO TUBULAR CBHM,0,Almox Mont Carretas
Fueiro,C GABARITOS,033612,ARRUELA [ESPAÇADOR - CBH M18],0,Almox Mont Carretas
Fueiro,C GABARITOS,031410,REFORÇO INTERNO - FUEIRO - CBH(M18),0,Almox Mont Carretas
Fueiro,C GABARITOS,030603,REFORÇO LATERAL INTERNO - FUEIRO - CBH(M17) ABERTURA LAT.,0,Almox Mont Carretas
Fueiro,CAIXA,240634,MACACO MOD. RAL-611 (CBHs),0,Almox Mont Carretas
Fueiro,CAIXA I,494616,FECHAM SUP   FUEIRO   CBHM,0,Almox Mont Carretas
Fueiro,CAIXA II,428383,CORRENTE TENSOR 855 - CARROC,0,Almox Mont Carretas
Fueiro,CAIXA II,428360,ELO CORRENTE COMPLEM-CARR C2,0,Almox Mont Carretas
Fueiro,CAIXA II,457000,TENSOR CORRENTE - CORROC  CAR,0,Almox Mont Carretas
Fueiro,CAIXA III,428395,CORRENTE/PORTA CORR 995-CARROC,0,Almox Mont Carretas
Fueiro,CAIXA IV,032745,ALÇA - [TRAVA DE BASCULAMENTO FA4FB],0,Almox Mont Carretas
Fueiro,CORREDOR,032666,ESTRUTURA U [GAIOLA KIT INCENDIO - FTC],0,Almox Mont Carretas
Fueiro,D,028766,DOBRADIÇA [FUEIRO - CBH M21],0,Almox Mont Carretas
Fueiro,D,030789,CORRENTE 180MM - MACACO M17,0,Almox Mont Carretas
Fueiro,D,030386,TRAVA MACACO - MACACO EXTERNO - CBHM/CBH 4T,0,Almox Mont Carretas
Fueiro,D,494884,PINO  MACACO     CBH/CBHM,0,Almox Mont Carretas
Fueiro,D,031239,DOBRADIÇA HORIZONTAL CBH/CBHM (M18),0,Almox Mont Carretas
Fueiro,D,425795,APOIO BUCHA GUIA    CBHM,0,Almox Mont Carretas
Fueiro,F,032723,BUCHA [GAIOLA KIT INCENDIO - FTC],0,Almox Mont Carretas
Fueiro,J,029521,"CORPO DO ESPAÇADOR - CBH 6,0 RS/TANDEM ABERTURA LAT",0,Almox Mont Carretas
Fueiro,L,445885,PINO ENG ICAM (M98)   CARR,0,Almox Mont Carretas
Fueiro,L,025409,SUPORTE TIRANTE / MANCAL CIL  CHASSI,0,Almox Mont Carretas
Fueiro,L,030326,TUBO FIXO MACACO - MACACO EXTERNO - CBHM/CBH 4T,0,Almox Mont Carretas
Fueiro,L,494653,DOBRADIÇA FUEIRO TRAS   CBHM,0,Almox Mont Carretas
Fueiro,L,464831,CORRENTE 400MM - F TRAS CAF CBHM,0,Almox Mont Carretas
Fueiro,L,025465,BUCHA DO MANCAL DO CILINDRO CBH8,0,Almox Mont Carretas
Fueiro,L,494616,FECHAM SUP   FUEIRO   CBHM,0,Almox Mont Carretas
Fueiro,L ,032365,CORPO [SUPORTE DA TAMPA - CBH UG M21],0,Almox Mont Carretas
Fueiro,L ,030789,CORRENTE 180MM - MACACO M17,0,Almox Mont Carretas
Fueiro,PALETE,032665,ASSOALHO [GAIOLA KIT INCENDIO - FTC],0,Almox Mont Carretas
Fueiro,SETOR,032667,TUBO DA ESTRUTURA [GAIOLA KIT INCENDIO - FT10500],0,Almox Mont Carretas
Fueiro,SETOR,032668,FECHAMENTO FRONTAL [FTC4300/6500],0,Almox Mont Carretas
Fueiro,SETOR,032669,REFORÇO MAIOR [GAIOLA KIT INCENDIO - FTC],0,Almox Mont Carretas
Fueiro,SETOR,032670,REFORÇO MENOR [GAIOLA KIT INCENDIO - FTC],0,Almox Mont Carretas
Fueiro,SETOR,400634,"CORRENTE TENSOR 1160     S4,7/S5,3",0,Almox Mont Carretas
Fueiro,SETOR,212300,"ARRUELA LISA 27MM POL. CHAPA 3/16""",0,Almox Mont Carretas
Fueiro,SETOR,221193,"LUVA DE UNIAO GALV. DE 2""",0,Almox Mont Carretas
Fueiro,SETOR,274124,PORCA SEX     1/2   UNC  ZB,0,Almox Mont Carretas
Fueiro,SETOR,274203,"PORCA SEX     3/4""   UNC  ZB",0,Almox Mont Carretas
Fueiro,SETOR,292254,"VALVULA DE GAVETA 2""",0,Almox Mont Carretas
Cubo de roda/Eixo comp./Cilindro,A,034758,CAMISA DO CILINDRO [CILINDRO HIDRÁULICO - CBHM6000 CA],0,Almox Mont Carretas
Cubo de roda/Eixo comp./Cilindro,A,034828,CAMISA DO CILINDRO [CBH7/CBHM6000],0,Almox Mont Carretas
Cubo de roda/Eixo comp./Cilindro,B,034757,CABEÇA DO PISTÃO [CILINDRO HIDRÁULICO - CBHM6000 CA],0,Almox Mont Carretas
Cubo de roda/Eixo comp./Cilindro,B,034881,CABEÇA DO PISTÃO [CBHM5000/6000],0,Almox Mont Carretas
